episode,steps,total_reward,success
783,200,-200.0,False
784,200,-200.0,False
785,200,-200.0,False
786,200,-200.0,False
787,14,987.0,True
788,200,-200.0,False
789,200,-200.0,False
790,200,-200.0,False
791,200,-200.0,False
792,200,-200.0,False
793,200,-200.0,False
794,200,-200.0,False
795,200,-200.0,False
796,200,-200.0,False
797,10,991.0,True
798,200,-200.0,False
799,200,-200.0,False
800,4,997.0,True
801,200,-200.0,False
802,200,-200.0,False
803,4,997.0,True
804,200,-200.0,False
805,200,-200.0,False
806,200,-200.0,False
807,200,-200.0,False
808,200,-200.0,False
809,200,-200.0,False
810,200,-200.0,False
811,200,-200.0,False
812,200,-200.0,False
813,56,945.0,True
814,200,-200.0,False
815,200,-200.0,False
816,200,-200.0,False
817,200,-200.0,False
818,200,-200.0,False
819,200,-200.0,False
820,200,-200.0,False
821,200,-200.0,False
822,200,-200.0,False
823,200,-200.0,False
824,200,-200.0,False
825,200,-200.0,False
826,200,-200.0,False
827,200,-200.0,False
828,200,-200.0,False
829,200,-200.0,False
830,6,995.0,True
831,200,-200.0,False
832,200,-200.0,False
833,8,993.0,True
834,200,-200.0,False
835,200,-200.0,False
836,200,-200.0,False
837,200,-200.0,False
838,200,-200.0,False
839,200,-200.0,False
840,200,-200.0,False
841,200,-200.0,False
842,4,997.0,True
843,200,-200.0,False
844,200,-200.0,False
845,16,985.0,True
846,200,-200.0,False
847,200,-200.0,False
848,2,999.0,True
849,2,999.0,True
850,200,-200.0,False
851,200,-200.0,False
852,200,-200.0,False
853,200,-200.0,False
854,200,-200.0,False
855,200,-200.0,False
856,200,-200.0,False
857,200,-200.0,False
858,4,997.0,True
859,200,-200.0,False
860,2,999.0,True
861,200,-200.0,False
862,14,987.0,True
863,200,-200.0,False
864,200,-200.0,False
865,200,-200.0,False
866,200,-200.0,False
867,200,-200.0,False
868,200,-200.0,False
869,200,-200.0,False
870,200,-200.0,False
871,4,997.0,True
872,200,-200.0,False
873,200,-200.0,False
874,200,-200.0,False
875,200,-200.0,False
876,200,-200.0,False
877,200,-200.0,False
878,200,-200.0,False
879,200,-200.0,False
880,200,-200.0,False
881,200,-200.0,False
882,200,-200.0,False
883,200,-200.0,False
884,200,-200.0,False
885,200,-200.0,False
886,200,-200.0,False
887,200,-200.0,False
888,200,-200.0,False
889,200,-200.0,False
890,200,-200.0,False
891,4,997.0,True
892,200,-200.0,False
893,200,-200.0,False
894,200,-200.0,False
895,200,-200.0,False
896,200,-200.0,False
897,4,997.0,True
898,200,-200.0,False
899,200,-200.0,False
900,200,-200.0,False
901,200,-200.0,False
902,200,-200.0,False
903,106,895.0,True
904,200,-200.0,False
905,200,-200.0,False
906,200,-200.0,False
907,200,-200.0,False
908,22,979.0,True
909,4,997.0,True
910,8,993.0,True
911,200,-200.0,False
912,200,-200.0,False
913,200,-200.0,False
914,200,-200.0,False
915,200,-200.0,False
916,200,-200.0,False
917,4,997.0,True
918,200,-200.0,False
919,200,-200.0,False
920,200,-200.0,False
921,10,991.0,True
922,6,995.0,True
923,200,-200.0,False
924,200,-200.0,False
925,200,-200.0,False
926,200,-200.0,False
927,200,-200.0,False
928,200,-200.0,False
929,200,-200.0,False
930,200,-200.0,False
931,200,-200.0,False
932,200,-200.0,False
933,200,-200.0,False
934,4,997.0,True
935,200,-200.0,False
936,200,-200.0,False
937,4,997.0,True
938,200,-200.0,False
939,200,-200.0,False
940,200,-200.0,False
941,200,-200.0,False
942,2,999.0,True
943,200,-200.0,False
944,4,997.0,True
945,200,-200.0,False
946,200,-200.0,False
947,200,-200.0,False
948,200,-200.0,False
949,200,-200.0,False
950,200,-200.0,False
951,200,-200.0,False
952,200,-200.0,False
953,200,-200.0,False
954,34,967.0,True
955,200,-200.0,False
